bits,numberCount,run_id,part1_time,part1_pct,part2_time,part2_pct,part3_time,part3_pct,avg_time
2,110000000,4,0.54926317,24.38871291,1.66e-06,7.39e-05,1.7028496,75.61094967,
2,110000000,5,0.54590033,24.26294018,9.5e-07,4.228e-05,1.70402766,75.73675811,
2,110000000,avg,0.54733508,24.31339044,1.36e-06,6.029e-05,1.70382487,75.68628632,
2,110000000,avg,,,,,,,2.251167
2,130000000,1,0.64534498,24.38347205,1.19e-06,4.499e-05,2.00129768,75.6162788,
2,130000000,2,0.64865775,24.5095261,1.021e-05,0.00038572,1.99787917,75.48984286,
2,130000000,3,0.64494027,24.40085642,1.18e-06,4.475e-05,1.99815848,75.59890486,
2,130000000,4,0.64721405,24.45361857,1.95e-06,7.351e-05,1.99948002,75.54613744,
2,130000000,5,0.64512324,24.41623159,1.18e-06,4.471e-05,1.99706131,75.5835599,
2,130000000,avg,0.64625606,24.43275458,3.14e-06,0.00011878,1.99877533,75.56693108,
2,130000000,avg,,,,,,,2.64504
2,150000000,1,0.74574928,24.41740093,1.19e-06,3.903e-05,2.30841473,75.58235604,
2,150000000,2,0.74950456,24.50287868,1.81e-06,5.93e-05,2.30933161,75.49690146,
2,150000000,3,0.74685512,24.40202316,1.14e-06,3.72e-05,2.31376485,75.59771956,
2,150000000,4,0.74975864,24.47176218,1.87e-06,6.115e-05,2.31400655,75.52806286,
2,150000000,5,0.74630999,24.41635299,1.16e-06,3.809e-05,2.31028161,75.58340646,
2,150000000,avg,0.74763552,24.44209979,1.44e-06,4.696e-05,2.31115987,75.55767309,
2,150000000,avg,,,,,,,3.058802
2,170000000,1,0.88212213,24.74616181,1.19e-06,3.349e-05,2.6825511,75.2535746,
2,170000000,2,0.88719949,24.84870809,2.32e-06,6.5e-05,2.68319556,75.15101662,
2,170000000,3,0.88270169,24.75289768,1.18e-06,3.317e-05,2.68334358,75.24685841,
2,170000000,4,0.88573793,24.81271677,2.08e-06,5.815e-05,2.68394624,75.18702255,
